timestamp,frame,hand_index,handedness,WRIST_x,WRIST_y,WRIST_z,THUMB_CMC_x,THUMB_CMC_y,THUMB_CMC_z,THUMB_MCP_x,THUMB_MCP_y,THUMB_MCP_z,THUMB_IP_x,THUMB_IP_y,THUMB_IP_z,THUMB_TIP_x,THUMB_TIP_y,THUMB_TIP_z,INDEX_MCP_x,INDEX_MCP_y,INDEX_MCP_z,INDEX_PIP_x,INDEX_PIP_y,INDEX_PIP_z,INDEX_DIP_x,INDEX_DIP_y,INDEX_DIP_z,INDEX_TIP_x,INDEX_TIP_y,INDEX_TIP_z,MIDDLE_MCP_x,MIDDLE_MCP_y,MIDDLE_MCP_z,MIDDLE_PIP_x,MIDDLE_PIP_y,MIDDLE_PIP_z,MIDDLE_DIP_x,MIDDLE_DIP_y,MIDDLE_DIP_z,MIDDLE_TIP_x,MIDDLE_TIP_y,MIDDLE_TIP_z,RING_MCP_x,RING_MCP_y,RING_MCP_z,RING_PIP_x,RING_PIP_y,RING_PIP_z,RING_DIP_x,RING_DIP_y,RING_DIP_z,RING_TIP_x,RING_TIP_y,RING_TIP_z,PINKY_MCP_x,PINKY_MCP_y,PINKY_MCP_z,PINKY_PIP_x,PINKY_PIP_y,PINKY_PIP_z,PINKY_DIP_x,PINKY_DIP_y,PINKY_DIP_z,PINKY_TIP_x,PINKY_TIP_y,PINKY_TIP_z
1781673676.1711435,160,0,Left,0.917671,1.006363,-0.0,0.865569,0.989508,-0.019178,0.817979,0.954867,-0.039402,0.77847,0.924771,-0.060327,0.749863,0.905648,-0.083077,0.864562,0.861374,-0.036121,0.840157,0.773359,-0.059659,0.820184,0.730862,-0.076885,0.80123,0.708872,-0.086559,0.90695,0.844631,-0.039749,0.897169,0.740288,-0.055117,0.885113,0.691035,-0.066178,0.872711,0.66476,-0.074729,0.945624,0.846611,-0.044991,0.947636,0.753269,-0.05654,0.941743,0.706336,-0.063463,0.933649,0.676773,-0.068303,0.980562,0.864378,-0.051933,0.987729,0.788596,-0.05989,0.984166,0.747456,-0.059652,0.973719,0.719141,-0.058873
1781673676.2053597,161,0,Left,0.890337,0.98946,0.0,0.832821,0.973881,-0.028235,0.785089,0.928076,-0.04922,0.745998,0.88901,-0.067526,0.708536,0.859537,-0.086331,0.83048,0.792862,-0.03398,0.803134,0.711822,-0.060034,0.780122,0.664296,-0.081627,0.757201,0.629411,-0.095315,0.872892,0.777299,-0.036513,0.866973,0.679235,-0.055925,0.850773,0.619954,-0.072067,0.832668,0.573358,-0.083016,0.912227,0.784107,-0.042538,0.916526,0.689807,-0.059703,0.908405,0.632612,-0.070226,0.898223,0.583275,-0.077159,0.948399,0.809457,-0.05103,0.960807,0.735264,-0.064993,0.960814,0.68859,-0.067984,0.95607,0.647431,-0.06878
1781673676.2388952,162,0,Left,0.881961,0.948169,0.0,0.814535,0.931469,-0.025057,0.759353,0.881622,-0.043445,0.718613,0.839874,-0.059762,0.681972,0.810126,-0.076686,0.799505,0.736996,-0.029541,0.766103,0.648866,-0.054029,0.741431,0.59417,-0.074738,0.719293,0.550091,-0.088285,0.845265,0.71663,-0.033443,0.831267,0.614934,-0.05111,0.814768,0.549664,-0.067155,0.798926,0.49558,-0.078421,0.888674,0.718082,-0.040604,0.883745,0.620058,-0.056665,0.873412,0.556566,-0.06821,0.863134,0.501484,-0.076063,0.929776,0.73869,-0.050047,0.93406,0.658238,-0.063091,0.930043,0.606152,-0.066393,0.924377,0.559638,-0.067465
1781673676.2720745,163,0,Left,0.868602,0.902983,0.0,0.797586,0.886842,-0.028334,0.735727,0.83392,-0.047212,0.688137,0.788321,-0.063475,0.646226,0.755937,-0.079732,0.771277,0.681752,-0.028347,0.735081,0.590001,-0.052197,0.708956,0.533405,-0.072534,0.686878,0.486867,-0.086365,0.817659,0.656995,-0.031892,0.796158,0.548873,-0.050278,0.777926,0.47964,-0.06711,0.761852,0.422385,-0.079057,0.862821,0.655628,-0.039303,0.854637,0.55242,-0.057766,0.845119,0.485303,-0.070945,0.835683,0.427753,-0.079669,0.907494,0.674435,-0.049169,0.907686,0.588672,-0.065108,0.902367,0.533381,-0.070202,0.895125,0.483827,-0.072538
1781673676.3051136,164,0,Left,0.855004,0.855847,0.0,0.78064,0.840271,-0.028635,0.714425,0.794345,-0.049459,0.663695,0.755402,-0.067734,0.619912,0.723747,-0.08613,0.748789,0.632689,-0.032403,0.704673,0.538772,-0.057809,0.674289,0.484545,-0.078391,0.64825,0.440529,-0.092029,0.794313,0.605856,-0.036987,0.765847,0.489605,-0.057743,0.744899,0.416918,-0.074653,0.726515,0.357584,-0.08627,0.840166,0.603746,-0.045498,0.828184,0.491896,-0.066315,0.817213,0.422356,-0.079505,0.805483,0.362343,-0.087822,0.886606,0.620658,-0.056354,0.884597,0.529377,-0.073769,0.878732,0.47218,-0.07853,0.870285,0.421025,-0.080458
1781673676.3382008,165,0,Left,0.839037,0.814095,1e-06,0.761009,0.801687,-0.027824,0.690547,0.756089,-0.047414,0.637056,0.720969,-0.06468,0.590663,0.695551,-0.082471,0.720282,0.587226,-0.031088,0.670254,0.494668,-0.054865,0.637804,0.437833,-0.074624,0.610517,0.390436,-0.088571,0.767497,0.555629,-0.036417,0.736217,0.438059,-0.055976,0.714072,0.365353,-0.072679,0.694665,0.306928,-0.084707,0.815653,0.552207,-0.045587,0.801623,0.438144,-0.066374,0.789352,0.368348,-0.080573,0.776093,0.308775,-0.090007,0.864341,0.56878,-0.056992,0.862601,0.474468,-0.074754,0.856779,0.416276,-0.080418,0.847043,0.365006,-0.083496
1781673676.37178,166,0,Left,0.827306,0.781526,1e-06,0.74644,0.774379,-0.02774,0.66913,0.7304,-0.046685,0.610833,0.697218,-0.063152,0.560725,0.67523,-0.080083,0.693667,0.552406,-0.031213,0.639369,0.459713,-0.054021,0.606568,0.403587,-0.072964,0.579001,0.357248,-0.08652,0.740541,0.51642,-0.036635,0.702485,0.395611,-0.055364,0.677815,0.322301,-0.071981,0.655975,0.264881,-0.083992,0.79086,0.510338,-0.045788,0.773623,0.393917,-0.06653,0.760302,0.322384,-0.081823,0.745924,0.26286,-0.092052,0.842419,0.525789,-0.057051,0.840082,0.42869,-0.075234,0.834785,0.367677,-0.081756,0.825484,0.314909,-0.085427
1781673676.405162,167,0,Left,0.816401,0.756258,0.0,0.732285,0.748221,-0.028997,0.65219,0.706586,-0.048269,0.589522,0.675999,-0.065672,0.536775,0.659154,-0.083852,0.674093,0.530831,-0.03064,0.615733,0.439759,-0.055196,0.579071,0.382394,-0.076276,0.549422,0.334023,-0.092035,0.718534,0.49172,-0.037206,0.676619,0.372831,-0.057521,0.647844,0.299516,-0.076325,0.622783,0.241099,-0.090638,0.76761,0.481439,-0.047989,0.748522,0.359035,-0.07139,0.73265,0.284892,-0.089136,0.716005,0.222288,-0.10174,0.818808,0.494687,-0.061059,0.821142,0.396914,-0.0828,0.818754,0.334,-0.092135,0.812106,0.2788,-0.098206
1781673676.4385087,168,0,Left,0.801554,0.732568,1e-06,0.713337,0.724711,-0.02623,0.632371,0.685277,-0.044749,0.568933,0.662678,-0.062161,0.515882,0.654018,-0.08087,0.653076,0.504911,-0.029778,0.593736,0.415236,-0.053599,0.556473,0.358789,-0.074173,0.525795,0.310972,-0.08997,0.697536,0.464797,-0.038519,0.655019,0.343129,-0.059248,0.62544,0.269741,-0.079101,0.598753,0.210408,-0.094157,0.748026,0.455311,-0.051005,0.732415,0.329745,-0.075871,0.718274,0.253362,-0.095267,0.70213,0.188373,-0.10903,0.800378,0.47112,-0.065316,0.811534,0.371715,-0.089055,0.814822,0.306777,-0.099339,0.813022,0.248437,-0.105972
1781673676.472222,169,0,Left,0.792734,0.708261,1e-06,0.706029,0.704603,-0.026975,0.621432,0.667855,-0.045011,0.554826,0.649737,-0.061631,0.500261,0.646414,-0.07953,0.635985,0.480566,-0.029794,0.574346,0.392072,-0.052256,0.535916,0.337142,-0.072007,0.50446,0.290966,-0.08734,0.67988,0.439909,-0.037714,0.637721,0.316655,-0.056097,0.610292,0.243268,-0.074283,0.587118,0.185479,-0.088456,0.730202,0.430759,-0.049515,0.714946,0.30417,-0.072613,0.702606,0.229079,-0.091001,0.688932,0.165484,-0.104501,0.782288,0.448084,-0.063331,0.795055,0.349699,-0.086047,0.801588,0.286823,-0.095541,0.803855,0.230144,-0.1018
