timestamp,frame,hand_index,handedness,WRIST_x,WRIST_y,WRIST_z,THUMB_CMC_x,THUMB_CMC_y,THUMB_CMC_z,THUMB_MCP_x,THUMB_MCP_y,THUMB_MCP_z,THUMB_IP_x,THUMB_IP_y,THUMB_IP_z,THUMB_TIP_x,THUMB_TIP_y,THUMB_TIP_z,INDEX_MCP_x,INDEX_MCP_y,INDEX_MCP_z,INDEX_PIP_x,INDEX_PIP_y,INDEX_PIP_z,INDEX_DIP_x,INDEX_DIP_y,INDEX_DIP_z,INDEX_TIP_x,INDEX_TIP_y,INDEX_TIP_z,MIDDLE_MCP_x,MIDDLE_MCP_y,MIDDLE_MCP_z,MIDDLE_PIP_x,MIDDLE_PIP_y,MIDDLE_PIP_z,MIDDLE_DIP_x,MIDDLE_DIP_y,MIDDLE_DIP_z,MIDDLE_TIP_x,MIDDLE_TIP_y,MIDDLE_TIP_z,RING_MCP_x,RING_MCP_y,RING_MCP_z,RING_PIP_x,RING_PIP_y,RING_PIP_z,RING_DIP_x,RING_DIP_y,RING_DIP_z,RING_TIP_x,RING_TIP_y,RING_TIP_z,PINKY_MCP_x,PINKY_MCP_y,PINKY_MCP_z,PINKY_PIP_x,PINKY_PIP_y,PINKY_PIP_z,PINKY_DIP_x,PINKY_DIP_y,PINKY_DIP_z,PINKY_TIP_x,PINKY_TIP_y,PINKY_TIP_z
1781673723.2662752,190,0,Left,0.265298,1.093154,0.0,0.322719,1.06715,-0.011102,0.369671,1.0264,-0.023493,0.40049,1.000339,-0.037005,0.419972,0.980906,-0.05304,0.352286,0.938601,-0.040169,0.399794,0.850961,-0.062524,0.426602,0.796979,-0.075506,0.446003,0.755344,-0.084234,0.305806,0.915868,-0.049402,0.325516,0.804491,-0.06819,0.338345,0.740071,-0.080838,0.3472,0.6906,-0.091152,0.259749,0.913544,-0.058172,0.261396,0.813784,-0.074017,0.26417,0.753886,-0.083576,0.266917,0.70569,-0.091638,0.216921,0.928881,-0.067405,0.19901,0.854131,-0.083367,0.190623,0.805566,-0.089123,0.185852,0.763864,-0.092581
1781673723.2999012,191,0,Right,0.269537,1.041507,1e-06,0.334262,1.026798,-0.028215,0.380497,0.997579,-0.047794,0.410737,0.972141,-0.06661,0.440093,0.958804,-0.085413,0.35638,0.855788,-0.032178,0.397556,0.785417,-0.05669,0.425425,0.736036,-0.077084,0.44741,0.69488,-0.091148,0.311148,0.828464,-0.035646,0.326899,0.734771,-0.056013,0.342418,0.670804,-0.073575,0.355306,0.617966,-0.086025,0.265088,0.826545,-0.042128,0.26802,0.729141,-0.063879,0.274886,0.661066,-0.080529,0.281151,0.60529,-0.090897,0.219969,0.849081,-0.050673,0.205155,0.769904,-0.072289,0.195378,0.71784,-0.081217,0.188378,0.673075,-0.085005
1781673723.3331366,192,0,Right,0.277207,0.990579,1e-06,0.353769,0.972616,-0.035429,0.41597,0.930738,-0.056366,0.462117,0.884493,-0.074414,0.509648,0.854798,-0.091837,0.369364,0.780302,-0.034801,0.407809,0.697567,-0.062115,0.437133,0.638591,-0.084469,0.461394,0.587089,-0.099533,0.322941,0.752793,-0.035023,0.340334,0.653353,-0.057206,0.356725,0.585901,-0.076142,0.370566,0.525869,-0.089337,0.275805,0.749876,-0.039218,0.279666,0.653975,-0.063388,0.285759,0.583292,-0.080861,0.291803,0.52248,-0.09123,0.228886,0.772366,-0.046176,0.217554,0.68758,-0.069002,0.210098,0.632803,-0.07807,0.20379,0.584145,-0.081641
1781673723.3661802,193,0,Right,0.277298,0.939985,1e-06,0.358411,0.921419,-0.03433,0.423917,0.872263,-0.053521,0.474925,0.821575,-0.071005,0.527301,0.794653,-0.087917,0.38088,0.712562,-0.028988,0.424337,0.618074,-0.056466,0.455287,0.553588,-0.078989,0.481538,0.500144,-0.093854,0.333471,0.681165,-0.03005,0.356883,0.566908,-0.052096,0.375425,0.490214,-0.071633,0.391973,0.423475,-0.08486,0.285397,0.67585,-0.035524,0.296609,0.569475,-0.05883,0.304387,0.49574,-0.076067,0.312248,0.433091,-0.086132,0.236776,0.695716,-0.044086,0.229564,0.609355,-0.066411,0.222853,0.551144,-0.075234,0.216444,0.500056,-0.07831
1781673723.3999598,194,0,Right,0.283505,0.880937,1e-06,0.363692,0.862782,-0.038859,0.431172,0.81519,-0.063355,0.48424,0.765106,-0.085293,0.538542,0.734221,-0.106911,0.392536,0.64999,-0.043584,0.439791,0.551039,-0.075864,0.471443,0.483822,-0.100054,0.497755,0.427012,-0.11572,0.343946,0.616757,-0.044711,0.372925,0.491804,-0.07096,0.394071,0.410758,-0.091155,0.412392,0.342024,-0.104784,0.294223,0.613102,-0.049982,0.307264,0.497681,-0.076149,0.316257,0.421083,-0.093713,0.325483,0.357427,-0.104203,0.243647,0.634597,-0.058469,0.236234,0.543223,-0.082599,0.230939,0.482291,-0.092345,0.227393,0.428879,-0.096318
1781673723.4339926,195,0,Right,0.285955,0.837888,1e-06,0.366874,0.825492,-0.036206,0.434834,0.780476,-0.058484,0.487393,0.730856,-0.07835,0.535967,0.694357,-0.098257,0.402436,0.601347,-0.043404,0.451323,0.494363,-0.073087,0.481279,0.424539,-0.09523,0.505765,0.364917,-0.11007,0.351653,0.567584,-0.044386,0.383609,0.442149,-0.069073,0.405041,0.360251,-0.088775,0.422841,0.292804,-0.103022,0.29952,0.564424,-0.049045,0.316652,0.445547,-0.073542,0.326614,0.368092,-0.092028,0.337195,0.304536,-0.104288,0.247508,0.584476,-0.056603,0.242743,0.490777,-0.080772,0.237631,0.428603,-0.092671,0.235317,0.373783,-0.098857
1781673723.4669094,196,0,Right,0.287352,0.807235,1e-06,0.370286,0.798023,-0.041745,0.442239,0.750698,-0.064955,0.495427,0.695853,-0.084766,0.544841,0.652831,-0.104199,0.408103,0.561126,-0.044957,0.4573,0.45389,-0.075561,0.486942,0.38358,-0.099145,0.512152,0.322363,-0.115155,0.357155,0.527759,-0.043472,0.389247,0.403028,-0.068731,0.410245,0.321084,-0.089447,0.427788,0.25186,-0.104479,0.3055,0.524709,-0.046346,0.325025,0.408318,-0.071118,0.33496,0.331402,-0.08975,0.345219,0.266134,-0.102107,0.253206,0.545002,-0.052816,0.249374,0.453374,-0.077451,0.243517,0.391886,-0.089734,0.239765,0.335972,-0.096135
1781673723.5004504,197,0,Right,0.291527,0.789135,1e-06,0.3747,0.778199,-0.045234,0.448284,0.728209,-0.069444,0.502079,0.669896,-0.089942,0.553571,0.627794,-0.109876,0.414629,0.536425,-0.045534,0.463509,0.43112,-0.077328,0.492582,0.359663,-0.102602,0.51659,0.296535,-0.120002,0.362595,0.502681,-0.043534,0.394698,0.376114,-0.070095,0.415989,0.292767,-0.092143,0.433111,0.221121,-0.107953,0.310523,0.500724,-0.046359,0.328455,0.38357,-0.072115,0.339383,0.307506,-0.090549,0.350462,0.241354,-0.102481,0.257352,0.523446,-0.053356,0.253713,0.429491,-0.078545,0.249506,0.367404,-0.090548,0.247465,0.308676,-0.09671
1781673723.5333676,198,0,Right,0.298,0.776537,1e-06,0.382721,0.764924,-0.044842,0.454826,0.712269,-0.068654,0.506986,0.651053,-0.088921,0.55948,0.608627,-0.108681,0.420097,0.517971,-0.043888,0.469484,0.41229,-0.075328,0.500185,0.341157,-0.100513,0.525028,0.278886,-0.118033,0.369086,0.485496,-0.042436,0.401728,0.35575,-0.068833,0.422664,0.27207,-0.090961,0.438608,0.200611,-0.106906,0.318064,0.484922,-0.045906,0.335762,0.365799,-0.072023,0.345813,0.287388,-0.091148,0.35559,0.219128,-0.103635,0.2657,0.508456,-0.053476,0.261074,0.413321,-0.079509,0.256065,0.350119,-0.092237,0.253153,0.290091,-0.099003
1781673723.5664318,199,0,Right,0.300446,0.768478,1e-06,0.385438,0.756506,-0.046717,0.458439,0.703961,-0.070232,0.512194,0.642708,-0.090141,0.564431,0.601171,-0.1092,0.425482,0.506799,-0.040504,0.475973,0.401432,-0.071194,0.507372,0.330846,-0.096439,0.532515,0.268786,-0.114142,0.373961,0.473216,-0.038171,0.406326,0.343743,-0.064005,0.42731,0.259973,-0.086174,0.443595,0.188121,-0.102047,0.323217,0.471952,-0.041276,0.339553,0.354796,-0.066465,0.350934,0.277767,-0.084865,0.362306,0.210357,-0.096835,0.271457,0.496094,-0.048984,0.267105,0.402719,-0.073719,0.263088,0.340353,-0.085438,0.261186,0.280236,-0.091599
1781673723.5997689,200,0,Right,0.30187,0.762642,1e-06,0.38676,0.751462,-0.045883,0.460521,0.700362,-0.068902,0.516514,0.640848,-0.088559,0.56937,0.601095,-0.107324,0.430302,0.501547,-0.038812,0.481219,0.396706,-0.069091,0.512672,0.327108,-0.09409,0.538328,0.265625,-0.111729,0.378952,0.467701,-0.036985,0.412676,0.339291,-0.062449,0.43449,0.25656,-0.084321,0.451753,0.18476,-0.100085,0.328133,0.465789,-0.040666,0.34543,0.34865,-0.065476,0.35799,0.272034,-0.083478,0.370451,0.204432,-0.095253,0.2759,0.488861,-0.048965,0.272554,0.39536,-0.073205,0.270027,0.333505,-0.084411,0.269623,0.273559,-0.090295
1781673723.6332583,201,0,Right,0.303801,0.758368,1e-06,0.389765,0.748306,-0.046104,0.463363,0.698393,-0.069368,0.519059,0.638829,-0.089246,0.57213,0.59857,-0.108268,0.433425,0.496808,-0.039113,0.484813,0.394419,-0.069389,0.516305,0.326622,-0.094645,0.542004,0.26553,-0.112695,0.382791,0.462192,-0.037285,0.418163,0.335584,-0.062886,0.44033,0.253257,-0.085133,0.457608,0.181279,-0.101356,0.332079,0.460521,-0.040977,0.350078,0.344271,-0.066136,0.363423,0.26835,-0.084632,0.376187,0.201322,-0.096821,0.27952,0.483816,-0.04926,0.277008,0.3902,-0.074067,0.274904,0.327627,-0.085933,0.274472,0.267365,-0.092366
1781673723.6671994,202,0,Right,0.306081,0.755386,1e-06,0.390369,0.745893,-0.04526,0.463612,0.695922,-0.068241,0.52139,0.639514,-0.088137,0.574075,0.60193,-0.107224,0.434409,0.493763,-0.038715,0.486438,0.390005,-0.068819,0.518457,0.322637,-0.093889,0.544862,0.261977,-0.111754,0.384647,0.459006,-0.037318,0.42054,0.333318,-0.062567,0.442339,0.250824,-0.084757,0.459412,0.178682,-0.101079,0.334084,0.456191,-0.041375,0.35166,0.340885,-0.06584,0.365711,0.265314,-0.084113,0.379307,0.19861,-0.096386,0.280977,0.477939,-0.050066,0.278677,0.384985,-0.07405,0.277047,0.322293,-0.085578,0.277663,0.262186,-0.091994
1781673723.700312,203,0,Right,0.303964,0.750555,1e-06,0.39029,0.742392,-0.046828,0.464533,0.69623,-0.071147,0.524099,0.644977,-0.092302,0.578877,0.612663,-0.112636,0.435528,0.491067,-0.040581,0.488204,0.387687,-0.071094,0.520314,0.320142,-0.096466,0.546944,0.259899,-0.114571,0.384292,0.455258,-0.038834,0.419474,0.328669,-0.064653,0.4421,0.24576,-0.087185,0.460632,0.173921,-0.103637,0.33302,0.452754,-0.042617,0.351523,0.33687,-0.067953,0.365895,0.261129,-0.087043,0.380294,0.194519,-0.099658,0.280305,0.475806,-0.0511,0.27715,0.383369,-0.076282,0.274101,0.320646,-0.088552,0.273535,0.260464,-0.095236
1781673723.7339244,204,0,Right,0.307328,0.748564,1e-06,0.391112,0.739936,-0.043956,0.466949,0.694621,-0.067794,0.529778,0.654406,-0.089333,0.584082,0.633488,-0.110264,0.436639,0.484869,-0.039285,0.488268,0.380209,-0.068658,0.52,0.313545,-0.09341,0.546393,0.254865,-0.111119,0.385524,0.450314,-0.039387,0.419897,0.322125,-0.063442,0.442346,0.240121,-0.084868,0.460619,0.171379,-0.100749,0.334122,0.448013,-0.044752,0.351409,0.329041,-0.068483,0.364429,0.251928,-0.087169,0.377334,0.186592,-0.099767,0.280896,0.471764,-0.054654,0.270823,0.378583,-0.07835,0.263086,0.315146,-0.089951,0.258562,0.255602,-0.096366
1781673723.7668078,205,0,Right,0.305961,0.74191,1e-06,0.389763,0.736533,-0.046203,0.467413,0.699215,-0.072456,0.53538,0.669621,-0.096153,0.594639,0.660258,-0.119118,0.438039,0.483408,-0.041924,0.490848,0.382527,-0.071857,0.522283,0.317621,-0.097146,0.548908,0.259321,-0.115317,0.386981,0.446729,-0.041335,0.420757,0.320454,-0.065217,0.442509,0.2397,-0.086158,0.460653,0.171249,-0.101982,0.334919,0.443271,-0.046192,0.349937,0.324691,-0.069899,0.362186,0.249026,-0.088461,0.374674,0.184469,-0.101021,0.281308,0.466604,-0.055841,0.266521,0.374433,-0.079012,0.256217,0.311621,-0.090186,0.24964,0.251639,-0.096498
1781673723.8019652,206,0,Right,0.304603,0.73903,1e-06,0.38722,0.7375,-0.043261,0.46382,0.707974,-0.069586,0.528684,0.691216,-0.094084,0.588035,0.696909,-0.11799,0.440519,0.488799,-0.039258,0.4974,0.39595,-0.069058,0.533444,0.338375,-0.094346,0.564188,0.287933,-0.112381,0.391689,0.448201,-0.040108,0.43021,0.327596,-0.062708,0.454726,0.252634,-0.08238,0.475485,0.189327,-0.097372,0.340095,0.441725,-0.046442,0.355774,0.325633,-0.068992,0.369099,0.250638,-0.087731,0.383251,0.185875,-0.100577,0.285313,0.464045,-0.057354,0.267899,0.373341,-0.079069,0.257261,0.311243,-0.089872,0.251439,0.250934,-0.096213
1781673723.83355,207,0,Right,0.306741,0.735644,1e-06,0.386734,0.734199,-0.042592,0.461912,0.710077,-0.069469,0.526077,0.701612,-0.094879,0.58507,0.71028,-0.119402,0.441556,0.491414,-0.036761,0.49542,0.40593,-0.066244,0.530501,0.359612,-0.091661,0.561208,0.321146,-0.1095,0.393677,0.450623,-0.037769,0.430831,0.33449,-0.059673,0.45691,0.265563,-0.079128,0.479957,0.208945,-0.09402,0.342664,0.443653,-0.044538,0.357488,0.330756,-0.066324,0.371237,0.258419,-0.085368,0.387071,0.196342,-0.098559,0.289214,0.465849,-0.055848,0.269641,0.377936,-0.076746,0.258001,0.317636,-0.087488,0.251813,0.25993,-0.093859
